0.000: [GC 512K->229K(1984K), 0.0050548 secs]
1.166: [GC 740K->353K(1984K), 0.0686462 secs]
2.020: [GC 865K->649K(1984K), 0.0066324 secs]
2.374: [GC 1161K->878K(1984K), 0.0051864 secs]
3.892: [Full GC 1328K->969K(1984K), 0.1554019 secs]
4.100: [Full GC 1205K->926K(2192K), 0.0587136 secs]
4.172: [GC 1438K->984K(2192K), 0.0029127 secs]
4.186: [GC 1496K->1026K(2192K), 0.0006249 secs]
4.191: [Full GC 1240K->1044K(2192K), 0.0581113 secs]
4.262: [GC 1556K->1092K(2192K), 0.0004794 secs]
4.274: [GC 1604K->1136K(2192K), 0.0005788 secs]
4.279: [Full GC 1325K->1079K(2192K), 0.0616500 secs]
4.351: [GC 1587K->1140K(2376K), 0.0003850 secs]
4.363: [GC 1652K->1185K(2376K), 0.0005327 secs]
4.368: [Full GC 1397K->1204K(2376K), 0.0579604 secs]
4.438: [GC 1714K->1260K(2588K), 0.0003752 secs]
4.446: [Full GC 1607K->1284K(2588K), 0.0579026 secs]
4.521: [GC 1796K->1334K(2720K), 0.0004582 secs]
4.525: [Full GC 1505K->1346K(2720K), 0.0579744 secs]
4.595: [GC 1854K->1392K(2720K), 0.0004738 secs]
4.599: [Full GC 1533K->1398K(2720K), 0.0581426 secs]
4.668: [GC 1906K->1449K(2908K), 0.0003743 secs]
4.676: [Full GC 1810K->1483K(2908K), 0.0579683 secs]
4.751: [GC 1992K->1538K(3052K), 0.0004621 secs]
4.759: [Full GC 1886K->1562K(3052K), 0.0592578 secs]
4.832: [GC 2074K->1612K(3052K), 0.0003850 secs]
4.841: [Full GC 1979K->1647K(3052K), 0.0590785 secs]
4.910: [GC 2157K->1709K(3324K), 0.0004378 secs]
4.922: [GC 2214K->1741K(3324K), 0.0004816 secs]
4.924: [Full GC 1768K->1736K(3324K), 0.0591729 secs]
4.994: [GC 2246K->1795K(3472K), 0.0003889 secs]
5.007: [GC 2302K->1847K(3472K), 0.0005003 secs]
5.013: [Full GC 2078K->1862K(3472K), 0.0582677 secs]
5.087: [GC 2374K->1917K(3684K), 0.0004598 secs]
5.097: [Full GC 2373K->1960K(3684K), 0.0587720 secs]
5.167: [GC 2469K->2010K(3844K), 0.0003931 secs]
5.175: [Full GC 2370K->2041K(3844K), 0.0588279 secs]
5.245: [GC 2548K->2094K(3980K), 0.0003883 secs]
5.253: [Full GC 2440K->2111K(3980K), 0.0588335 secs]
5.324: [GC 2620K->2165K(3980K), 0.0004031 secs]
5.330: [Full GC 2432K->2189K(3980K), 0.0585563 secs]
5.401: [GC 2700K->2246K(4228K), 0.0004621 secs]
5.407: [Full GC 2502K->2260K(4228K), 0.0589757 secs]
5.478: [GC 2772K->2309K(4228K), 0.0003721 secs]
5.482: [Full GC 2478K->2321K(4228K), 0.0591564 secs]
5.551: [GC 2828K->2374K(4448K), 0.0003819 secs]
5.559: [Full GC 2719K->2391K(4448K), 0.0589064 secs]
5.629: [GC 2896K->2441K(4448K), 0.0003942 secs]
5.636: [Full GC 2797K->2474K(4448K), 0.0588416 secs]
5.707: [GC 2985K->2529K(4704K), 0.0003914 secs]
5.715: [Full GC 2877K->2551K(4704K), 0.0589924 secs]
5.784: [GC 3063K->2603K(4704K), 0.0003894 secs]
5.789: [Full GC 2772K->2616K(4704K), 0.0590885 secs]
5.858: [GC 3122K->2669K(4940K), 0.0003822 secs]
5.865: [Full GC 3014K->2686K(4940K), 0.0590033 secs]
5.934: [GC 3197K->2743K(4940K), 0.0004037 secs]
5.940: [Full GC 3000K->2758K(4940K), 0.0589810 secs]
6.010: [GC 3263K->2809K(5176K), 0.0003947 secs]
6.017: [Full GC 3163K->2840K(5176K), 0.0591620 secs]
6.090: [GC 3352K->2889K(5312K), 0.0003741 secs]
6.095: [Full GC 3060K->2901K(5312K), 0.0589259 secs]
6.164: [GC 3408K->2954K(5312K), 0.0007381 secs]
6.172: [Full GC 3300K->2971K(5312K), 0.0594760 secs]
6.242: [GC 3483K->3032K(5532K), 0.0004283 secs]
6.252: [GC 3539K->3083K(5532K), 0.0005087 secs]
6.257: [Full GC 3313K->3097K(5532K), 0.0590030 secs]
6.327: [GC 3608K->3153K(5740K), 0.0004070 secs]
6.335: [Full GC 3503K->3176K(5740K), 0.0590759 secs]
6.405: [GC 3688K->3231K(5872K), 0.0004017 secs]
6.411: [Full GC 3504K->3256K(5872K), 0.0593754 secs]
6.481: [GC 3765K->3310K(6004K), 0.0003939 secs]
6.488: [Full GC 3653K->3326K(6004K), 0.0598573 secs]
6.559: [GC 3838K->3383K(6004K), 0.0004065 secs]
6.566: [Full GC 3652K->3409K(6004K), 0.0590924 secs]
6.634: [GC 3915K->3457K(6260K), 0.0003936 secs]
6.641: [Full GC 3816K->3488K(6260K), 0.0594944 secs]
6.712: [GC 3996K->3541K(6392K), 0.0003931 secs]
6.719: [Full GC 3886K->3561K(6392K), 0.0592760 secs]
6.789: [GC 4068K->3608K(6392K), 0.0003953 secs]
6.798: [Full GC 3963K->3631K(6392K), 0.0597922 secs]
6.871: [GC 4143K->3684K(6628K), 0.0004118 secs]
6.888: [Full GC 4030K->3705K(6628K), 0.0596012 secs]
6.959: [GC 4211K->3757K(6628K), 0.0003998 secs]
6.970: [Full GC 4011K->3771K(6628K), 0.0596819 secs]
7.055: [GC 4278K->3824K(6864K), 0.0003889 secs]
7.063: [Full GC 4078K->3837K(6864K), 0.0597718 secs]
7.136: [GC 4349K->3883K(6864K), 0.0003808 secs]
7.139: [Full GC 4049K->3888K(6864K), 0.0601305 secs]
7.209: [GC 4396K->3940K(7060K), 0.0003872 secs]
7.216: [Full GC 4283K->3958K(7060K), 0.0750559 secs]
7.304: [GC 4463K->4003K(7060K), 0.0005400 secs]
7.316: [Full GC 4454K->4041K(7060K), 0.0839956 secs]
7.413: [GC 4546K->4087K(7316K), 0.0005691 secs]
7.429: [Full GC 4445K->4115K(7316K), 0.0831120 secs]
7.525: [GC 4624K->4161K(7316K), 0.0005520 secs]
7.534: [Full GC 4516K->4185K(7316K), 0.0838791 secs]
7.631: [GC 4696K->4235K(7552K), 0.0006400 secs]
7.635: [Full GC 4396K->4246K(7552K), 0.0834212 secs]
7.730: [GC 4758K->4288K(7552K), 0.0005453 secs]
7.743: [GC 4800K->4325K(7552K), 0.0006777 secs]
7.745: [Full GC 4334K->4323K(7552K), 0.0832011 secs]
7.840: [GC 4832K->4373K(7784K), 0.0005333 secs]
7.851: [Full GC 4823K->4413K(7784K), 0.0841579 secs]
7.947: [GC 4920K->4464K(7936K), 0.0005763 secs]
7.955: [Full GC 4730K->4484K(7936K), 0.0841037 secs]
8.052: [GC 4990K->4533K(7936K), 0.0005571 secs]
8.061: [Full GC 4891K->4563K(7936K), 0.0835645 secs]
8.166: [GC 5135K->4638K(8248K), 0.0006805 secs]
8.175: [Full GC 4947K->4664K(8248K), 0.0837989 secs]
8.272: [GC 5240K->4740K(8416K), 0.0006308 secs]
8.284: [Full GC 5261K->4807K(8416K), 0.0840230 secs]
8.382: [GC 5379K->4882K(8656K), 0.0006286 secs]
8.393: [Full GC 5385K->4931K(8656K), 0.0843887 secs]
8.491: [GC 5501K->5001K(8860K), 0.0006462 secs]
8.497: [Full GC 5223K->5024K(8860K), 0.0838042 secs]
8.596: [GC 5664K->5100K(9080K), 0.0006884 secs]
8.600: [Full GC 5244K->5114K(9080K), 0.0837227 secs]
8.699: [GC 5749K->5191K(9232K), 0.0006350 secs]
8.705: [Full GC 5424K->5206K(9232K), 0.0837447 secs]
8.803: [GC 5846K->5285K(9384K), 0.0006529 secs]
8.817: [Full GC 5914K->5354K(9384K), 0.0856939 secs]
8.917: [GC 5987K->5430K(9632K), 0.0006478 secs]
8.933: [Full GC 6040K->5492K(9632K), 0.0849158 secs]
9.034: [GC 6196K->5568K(9924K), 0.0007230 secs]
9.037: [Full GC 5644K->5573K(9924K), 0.0842395 secs]
9.137: [GC 6277K->5651K(10060K), 0.0006445 secs]
9.141: [Full GC 5726K->5656K(10060K), 0.0841548 secs]
9.241: [GC 6360K->5730K(10200K), 0.0011420 secs]
9.246: [Full GC 5899K->5736K(10200K), 0.0848574 secs]
9.347: [GC 6440K->5815K(10332K), 0.0006861 secs]
9.355: [Full GC 6166K->5841K(10332K), 0.0846568 secs]
9.456: [GC 6544K->5914K(10504K), 0.0006571 secs]
9.461: [Full GC 6081K->5928K(10504K), 0.0847736 secs]
9.562: [GC 6695K->6024K(10716K), 0.0007439 secs]
9.573: [GC 6779K->6241K(10716K), 0.0017731 secs]
9.580: [GC 6982K->6446K(10716K), 0.0017214 secs]
9.591: [GC 7210K->6622K(10716K), 0.0015938 secs]
9.609: [GC 7389K->6731K(10716K), 0.0015505 secs]
9.637: [GC 7499K->6821K(10716K), 0.0012792 secs]
10.866: [GC 7587K->6941K(10716K), 0.0059435 secs]
11.047: [GC 7709K->7283K(10716K), 0.0067134 secs]
